Time stamp,Date,Time,Month _num,Month,Day_of_week,Season,Day_type,Tariff type,Year,Price
03/03/2019 11:00,03/03/2019,11,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 12:00,03/03/2019,12,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 13:00,03/03/2019,13,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 14:00,03/03/2019,14,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 15:00,03/03/2019,15,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 16:00,03/03/2019,16,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 17:00,03/03/2019,17,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 18:00,03/03/2019,18,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 19:00,03/03/2019,19,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 20:00,03/03/2019,20,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 21:00,03/03/2019,21,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 22:00,03/03/2019,22,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 23:00,03/03/2019,23,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 00:00,04/03/2019,0,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 01:00,04/03/2019,1,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 02:00,04/03/2019,2,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 03:00,04/03/2019,3,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 04:00,04/03/2019,4,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 05:00,04/03/2019,5,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 06:00,04/03/2019,6,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 07:00,04/03/2019,7,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 08:00,04/03/2019,8,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 09:00,04/03/2019,9,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 10:00,04/03/2019,10,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 11:00,04/03/2019,11,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 12:00,04/03/2019,12,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 13:00,04/03/2019,13,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 14:00,04/03/2019,14,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 15:00,04/03/2019,15,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 16:00,04/03/2019,16,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 17:00,04/03/2019,17,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
